SENARAI STESEN ARAS AIR (WATER LEVEL) DI RANGKAIAN HIDROLOGI NASIONAL,,,,,
,,,,,
STATION NO,STATION NAME,FUNCTION,STATE,LATITUDE,LONGITUDE
1515401,Samu,WL,Sarawak,001 33 20,111 31 30
1601401,"Rayu, Sg.",WL,Sarawak,001 36 50,110 08 45
1602401,Sibu Laut,WL,Sarawak,001 40 48,110 12 06
1603458,Rampangi,WL,Sarawak,001 40 40,110 20 00
1714401,Kaki Wong,WL,Sarawak,001 44 30,111 27 18
1714402,Wong Bernet,WL,Sarawak,001 44 50,111 27 30
1813401,Sebatan,WL,Sarawak,001 48 15,111 20 00
1826401,"Mukeh, Ng.",WL,Sarawak,001 50 50,112 37 45
1836401,"Entawau, Nanga",WL,Sarawak,001 49 20,113 40 35
1915401,Ambas,WL,Sarawak,001 58 30,111 30 45
1918401,"Ayam, Ng.",WL,Sarawak,001 56 40,111 53 55
1932408,Telok Buing,WL,Sarawak,001 59 50,113 13 20
2019402,Julau Bazaar,WL,Sarawak,002 01 20,111 37 55
2020401,"Machan, Ng.",WL,Sarawak,002 01 05,112 01 00
2021401,KaFALSEwit W/W,WL,Sarawak,002 05 50,112 08 50
2025423,Song,WL,Sarawak,002 00 42,112 35 51
2029402,Kapit New Headworks,WL,Sarawak,002 01 00,112 56 50
2112401,Rajang,WL,Sarawak,002 09 20,111 15 10
2115401,Sarikei RPA Wharf,WL,Sarawak,002 08 05,111 31 05
2116401,Bintangor,WL,Sarawak,002 09 35,111 12 35
2130405,"Benin, Nanga",WL,Sarawak,002 09 55,113 04 10
2218401,"Salim, Sg.",WL,Sarawak,002 14 15,111 52 55
2315401,"Semah, Ng.",WL,Sarawak,002 21 32,111 30 45
2318427,Sibu Sg. Merah,WL,Sarawak,002 19 30,111 50 15
2323401,"Jugah, Rh.",WL,Sarawak,002 23 11,112 23 03
2412401,Paloh Bangau,WL,Sarawak,002 25 10,111 14 50
2421401,Stapang,WL,Sarawak,002 24 00,112 08 05
2513401,Mid Bruit,WL,Sarawak,002 31 10,111 22 40
2514401,Daro,WL,Sarawak,002 32 05,111 26 00
2516401,"Dausan, Sg.",WL,Sarawak,002 34 50,110 49 19
2518401,"Kabang, Tg.",WL,Sarawak,002 51 38,111 52 13
2523401,Selangau,WL,Sarawak,002 31 25,112 19 15
2615401,Matu,WL,Sarawak,002 40 28,111 32 03
2625401,"Lemai, Ng",WL,Sarawak,002 41 16,112 30 08
2737401,Giam Pasang,WL,Sarawak,002 44 35,113 47 30
2737413,Belaga,WL,Sarawak,002 42 50,113 46 50
2817401,Igan,WL,Sarawak,002 49 10,111 42 50
2818401,Oya,WL,Sarawak,003 01 32,112 35 29
2825401,"Bawan, Sg.",WL,Sarawak,002 29 55,111 42 11
2828401,Tatau Town,WL,Sarawak,002 52 35,112 50 50
2920401,Mukah JKR,WL,Sarawak,002 54 10,112 05 10
3026401,Kuala Balingian,WL,Sarawak,003 01 32,112 35 29
3132401,Sebauh,WL,Sarawak,003 06 30,113 15 44
3137401,Tubau,WL,Sarawak,003 09 35,113 42 20
3152408,Lio Matu,WL,Sarawak,003 10 10,115 13 20
3230402,Bintulu,WL,Sarawak,003 10 20,113 02 20
3231401,Sibiu ATC,WL,Sarawak,003 13 25,113 09 20
3347402,"Akah, Long",WL,Sarawak,003 18 15,114 47 20
3444409,"Pilah S, Long",WL,Sarawak,003 29 10,114 25 35
3541410,"Jegan, Long",WL,Sarawak,003 35 10,114 06 45
3744421,"Lama, Long",WL,Sarawak,003 45 45,114 24 05
3842425,"Teru, Long",WL,Sarawak,003 51 40,114 14 25
3946411,"Terawan, Long",WL,Sarawak,003 59 35,114 37 50
4043401,Benawa,WL,Sarawak,004 01 25,114 20 55
4141401,Bakong,WL,Sarawak,004 11 40,114 07 40
4143406,Marudi,WL,Sarawak,004 10 40,114 19 20
4448420,"Insungai, Nanga",WL,Sarawak,004 24 00,11 4 53 30
4449402,"Saliban, Nanga",WL,Sarawak,004 28 35,114 55 25
4548412,Ukong,WL,Sarawak,004 33 05,114 51 20
4553401,"Tengoa D, Long",WL,Sarawak,004 35 25,115 20 10
4648413,Batu Danau,WL,Sarawak,004 38 50,114 49 15
4749401,Limbang,WL,Sarawak,004 44 45,114 59 50
4278401,Sg. Tawau At Kuhara Road,WL,Sabah,04 16 25,117 53 00
4278402,Sg. Tawau At Kuhara,WL,Sabah,04 16 18,117 53 17
4474401,Sg. Kalabakan At Kalabakan,WL,Sabah,04 27 38,117 23 24
4581401,Sg. Kalumpang At Mostyn Bridge,WL,Sabah,04 35 14,118 10 14
4581402,Sg. Kalumpang At Mostyn Bridge,WL,Sabah,04 38 40,118 09 50
4764401,Sg. Sapulut At Sapulut,WL,Sabah,04 42 10,116 28 55
4764402,Sg. Talankai di Lotong,WL,Sabah,04 43 08,116 26 29
4764403,Sg. Talankai di Sk.Lotong,WL,Sabah,04 43 08,116 26 29
4858401,Sg. Padas di Kuala Tomani,WL,Sabah,04 43 08,116 26 29
4955402,Sg. Mengalong At Lubang Buaya,WL,Sabah,04 59 40,115 34 40
4955403,Sg. Mengalong di Sindumin,WL,Sabah,04 59 40,115 34 40
4959401,Sg. Padas di Kemabong,WL,Sabah,04 55 04,115 55 12
4959401,Sg. Padas di Kemabong,WL,Sabah,04 55 00,115 55 15
5074401,Sg. Kuamut di Ulu Kuamut,WL,Sabah,05 04 55,117 26 30
5156401,Sg. Lakutan At Mesapol Quarry,WL,Sabah,05 07 30,115 37 50
5156402,Sg. Lakutan At Tunggul Tinggi Ph,WL,Sabah,05 06 30,115 36 35
5156403,Sg. Lakutan At Mesapol,WL,Sabah,05 07 30,115 37 50
5159401,Sg. Padas di TeFALSEm,WL,Sabah,05 07 00,115 55 50
5163401,Sg. Sook At Sook,WL,Sabah,05 08 35,116 18 20
5181401,Sg. Segama di Limkabong,WL,Sabah,05 07 25,118 07 50
5261401,Sg. Pegalan di Ansip,WL,Sabah,05 16 55,116 06 50
5261402,Sg. Sook di Biah,WL,Sabah,05 15 25,116 08 25
5275401,Sg. Kinabatangan di  Pagar,WL,Sabah,05 13 35,117 30 10
5357403,Sg. Padas di Beaufort Jps.,WL,Sabah,05 21 15,115 43 25
5373401,Sg. Milian di Tangkulap,WL,Sabah,05 18 15,117 19 05
5375401,Sg. Kinabatangan di Balat,WL,Sabah,05 18 35,117 35 50
5457401,Sg. Membakut di Membakut,WL,Sabah,05 28 25,115 47 55
5461401,Sg. Baiayo di Bandukan,WL,Sabah,05 26 15,116 08 05
5462402,Sg. Apin Apin di Waterworks,WL,Sabah,05 29 00,116 15 55
5465401,Sg. Labau di Sinua,WL,Sabah,05 35 00,115 57 15
5465402,Sg. Labau di Sk Mansiat,WL,Sabah,05 35 00,115 57 15
5478401,Sg. Kinabatangan di Barik Manis,WL,Sabah,05 29 35,117 52 40
5478402,Sg. Kinabatangan di Bkt. Garam,WL,Sabah,05 29 45,117 50 05
5478403,Sg. Kinabatangan di Barik Manis,WL,Sabah,05 29 35,117 52 40
5559401,Sg. Kimanis di Road Bridge,WL,Sabah,05 35 00,115 57 15
5575401,Sg. Lokan di Lokan Bridge,WL,Sabah,05 33 25,117 34 35
5659401,Sg. Papar di New P.H.Simpudu,WL,Sabah,05 41 30,115 59 00
5663401,Sg. Pegalan di Keranaan,WL,Sabah,05 41 08,116 22 34
5668401,Sg. Kegibangan di Tampias Pump Ho,WL,Sabah,05 41 08,116 22 34
5760401,Sg. Papar di Kaiduan,WL,Sabah,05 46 10,116 05 30
5760402,Sg. Papar di Kogopon,WL,Sabah,05 42 30,116 02 10
5768401,Sg. Labuk di Tampias,WL,Sabah,05 43 05,116 51 35
5768402,Sg. Liwagu di Maringkan,WL,Sabah,05 43 05,116 51 35
5770401,Sg. Labuk At Tomboloi,WL,Sabah,05 44 25,117 03 00
5872401,Sg. Labuk di Porog,WL,Sabah,05 51 15,117 13 40
5872402,Sg. Labuk di Telupid,WL,Sabah,05 44 25,117 03 00
5961401,Sg. Moyog di Penampang,WL,Sabah,05 54 50,116 06 40
5961402,Sg. Inanam At Kiansam,WL,Sabah,05 59 05,116 09 05
5961402,Sg. Moyog di Penampang,WL,Sabah,05 54 50,116 06 40
5966401,Sg. Liwagu At Bedukan,WL,Sabah,05 55 00,116 39 10
6065401,Sg. Liwagu di kinabalu park,WL,Sabah,05 55 00,116 39 10
6073402,Sg. Tungud di Basai,WL,Sabah,06 03 13,117 18 59
6162401,Sg. Tuaran At Malangang,WL,Sabah,06 06 10,116 16 20
6162403,Sg. Tuaran di Pump House 1,WL,Sabah,06 09 00,116 14 20
6162404,Sg. Tuaran di Tamparuli,WL,Sabah,06 09 00,116 14 20
6168401,Sg. Merali At Merungin,WL,Sabah,06 06 15,116 53 30
6172401,Sg. Sugut di Bukit Mondou,WL,Sabah,06 11 45,117 14 20
6263401,Sg. Tenghilan At Tenghilan,WL,Sabah,06 15 20,116 20 00
6264401,Sg. Kadamaian di Tamu Darat,WL,Sabah,06 15 50,116 27 10
6364401,Sg. Wariu di Bridge no.2,WL,Sabah,06 19 30,116 29 00
6465401,Sg. Kuang Kuang At Rosok Road,WL,Sabah,06 24 25,115 32 00
6467401,Sg. Bandau At Simpangan,WL,Sabah,06 24 00,116 44 55
6468402,Sg. Bongan di Timbang Batu,WL,Sabah,06 26 52,116 48 42
6670401,Sg. Bengkoka At Kobon,WL,Sabah,06 37 30,117 02 30
,,,,,
Note :,WL = Water Level,,,,
